Application Number,InvoiceCode,TransactionID,PaidAmount,TransactionDate,Status
240110000000,NVS_240110000001_17092133708987,ZHMP1787242552,1,45352,Success
240110000000,NVS_240110000026_17102398233245,ZIC51818790387,1,45364,Success
240110000000,NVS_240110000185_17103321056600,ZIC51821739890,1,45365,Success
240110000000,NVS_240110000184_17103299869830,ZIC51821652129,1,45365,Success
240110000000,NVS_240110000200_17110083026684,ZHMP1842356185,1,45373,Success
240110000000,NVS_240110000010_17110231750870,ZIC51842986992,1,45373,Success
240110000000,NVS_240110000204_17110167256056,ZIC51842717725,1,45373,Success
240110000000,NVS_240110000199_17110154362236,ZIC51842663544,1,45373,Success
240110000000,NVS_240110009218_17112526030154,ZIC51849828986,1000,45376,Success
240110000000,NVS_240110002434_17112532503704,ZIC51849851115,1000,45376,Success
240110000000,NVS_240110009600_17112542882272,ZIC51849886557,500,45376,Success
240110000000,NVS_240110009406_17112543051873,ZIC51849887296,1000,45376,Success
240110000000,NVS_240110010634_17112597175465,ZIC51850098678,1500,45376,Success
240110000000,NVS_240110012447_17112659525798,ZIC51850371888,1500,45376,Success
240110000000,NVS_240110009919_17112561009967,ZIC51849954241,500,45376,Success
240110000000,NVS_240110019604_17113043458550,ZIC51851799946,2000,45376,Success
240110000000,NVS_240110019555_17113045182114,ZIC51851804243,1000,45376,Success
240110000000,NVS_240110019466_17113047660976,ZHMP1851810662,1500,45376,Success
240110000000,NVS_240110007791_17112197599924,ZIC51849427031,1500,45376,Success
240110000000,NVS_240110007634_17112208761136,ZIC51849447082,500,45376,Success
240110000000,NVS_240110008091_17112225092016,ZIC51849472650,1000,45376,Success
240110000000,NVS_240110006209_17112230596357,ZIC51849480430,500,45376,Success
240110000000,NVS_240110006304_17112240197145,ZIC51849491097,500,45376,Success
240110000000,NVS_240110008155_17112287275272,ZIC51849529421,1500,45376,Success
240110000000,NVS_240110008395_17112356357884,ZHMP1849568477,500,45376,Success
240110000000,NVS_240110008525_17112416589041,ZIC51849611687,1000,45376,Success
240110000000,NVS_240110008506_17112434546187,ZIC51849629996,500,45376,Success
240110000000,NVS_240110008881_17112492965969,ZIC51849734452,1000,45376,Success
240110000000,NVS_240110009509_17112527427143,ZIC51849833755,1000,45376,Success
240110000000,NVS_240110000224_17112533152006,ZIC51849853263,1000,45376,Success
240110000000,NVS_240110010125_17112563058692,ZIC51849960474,1000,45376,Success
240110000000,NVS_240110007832_17112563435708,ZIC51849962333,500,45376,Success
